age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,blue-collar,single,basic.4y,unknown,no,no,telephone,jun,fri,402,22,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
31,blue-collar,single,basic.9y,no,no,no,telephone,may,thu,732,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37,management,married,university.degree,no,no,no,cellular,nov,thu,89,1,999,0,nonexistent,-0.1,93.2,-42,4.0760000000000005,5195.8,no
34,management,married,university.degree,no,no,no,telephone,may,wed,984,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
29,blue-collar,single,basic.9y,no,no,no,telephone,jun,fri,153,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
32,self-employed,single,high.school,no,no,no,telephone,jun,thu,11,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
23,student,single,basic.9y,no,yes,no,cellular,sep,thu,954,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,yes
33,blue-collar,married,professional.course,no,no,no,telephone,may,mon,53,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,technician,divorced,professional.course,no,no,no,cellular,aug,tue,279,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
28,blue-collar,married,basic.6y,no,no,no,cellular,may,mon,146,3,999,0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
45,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
46,technician,married,high.school,no,yes,no,cellular,may,tue,368,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
52,admin.,divorced,high.school,no,yes,no,cellular,nov,fri,127,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
39,blue-collar,single,basic.9y,no,no,no,telephone,may,tue,650,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,yes
49,technician,married,professional.course,unknown,yes,no,telephone,may,tue,82,9,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
36,admin.,married,university.degree,no,yes,no,telephone,jul,mon,197,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
30,services,single,high.school,no,no,no,cellular,nov,fri,648,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,yes
46,technician,married,professional.course,no,yes,no,telephone,may,tue,193,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
37,admin.,married,high.school,no,no,no,cellular,may,fri,123,5,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
35,blue-collar,married,high.school,no,no,yes,cellular,jul,mon,149,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
29,admin.,single,high.school,no,yes,yes,cellular,mar,mon,257,1,999,0,nonexistent,-1.8,93.369,-34.8,0.6459999999999999,5008.7,yes
52,housemaid,married,basic.4y,no,no,no,cellular,jul,fri,479,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
50,admin.,married,university.degree,no,no,no,telephone,jul,mon,1076,17,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
34,admin.,married,university.degree,no,yes,no,cellular,may,thu,141,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
58,admin.,married,high.school,no,yes,no,cellular,may,fri,67,1,999,0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
46,admin.,divorced,high.school,no,unknown,unknown,cellular,jul,tue,297,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
24,admin.,single,high.school,unknown,yes,yes,cellular,jul,thu,493,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
49,admin.,married,high.school,no,yes,yes,cellular,jul,mon,263,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,services,married,high.school,no,yes,no,telephone,jun,thu,394,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
49,technician,divorced,unknown,no,no,no,telephone,jun,thu,167,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
31,technician,married,professional.course,no,no,no,cellular,aug,thu,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
31,blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,143,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
59,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,mon,618,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
31,blue-collar,single,basic.9y,no,no,yes,cellular,may,wed,37,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
29,admin.,single,basic.9y,unknown,no,no,telephone,may,tue,62,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
39,entrepreneur,married,high.school,no,unknown,unknown,telephone,jun,mon,440,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
75,retired,divorced,basic.9y,no,no,no,cellular,mar,mon,233,1,999,0,nonexistent,-1.8,92.843,-50,1.56,5099.1,no
39,management,married,university.degree,no,no,no,telephone,may,mon,102,22,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,services,married,high.school,unknown,yes,no,telephone,jun,fri,177,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
58,services,married,basic.4y,no,unknown,unknown,telephone,jun,fri,250,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
34,admin.,single,basic.6y,no,no,no,cellular,apr,mon,170,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
30,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,fri,101,5,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no
41,technician,married,basic.6y,no,no,no,telephone,jun,thu,41,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
33,blue-collar,single,high.school,no,yes,no,cellular,mar,wed,163,1,999,0,nonexistent,-1.8,92.843,-50,1.602,5099.1,no
42,admin.,married,university.degree,no,no,no,telephone,may,thu,129,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
35,technician,single,professional.course,no,no,no,cellular,aug,mon,148,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
42,blue-collar,married,basic.4y,no,no,no,cellular,jul,wed,53,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
42,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,services,married,high.school,no,no,no,telephone,jun,tue,393,3,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
53,management,married,university.degree,unknown,no,no,cellular,jul,wed,184,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
26,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,389,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
27,admin.,single,high.school,no,no,no,cellular,jul,tue,317,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,558,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes
32,admin.,married,university.degree,no,yes,no,cellular,apr,wed,166,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,no
45,admin.,single,professional.course,no,yes,no,telephone,may,wed,565,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191,yes
27,technician,single,university.degree,no,yes,no,cellular,aug,thu,250,3,999,5,failure,-1.7,94.027,-38.3,0.904,4991.6,no
32,technician,married,professional.course,no,yes,no,telephone,jun,mon,127,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
55,entrepreneur,single,unknown,unknown,no,no,telephone,jul,wed,542,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,yes
42,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,212,1,999,0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
43,admin.,married,basic.9y,no,no,no,cellular,jul,fri,72,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
46,unemployed,married,basic.9y,unknown,no,no,cellular,aug,wed,98,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
32,entrepreneur,married,basic.6y,no,no,no,telephone,may,tue,465,8,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
35,admin.,single,university.degree,no,yes,no,cellular,apr,wed,58,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
25,unemployed,single,high.school,unknown,no,no,telephone,may,wed,694,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes
47,blue-collar,married,basic.6y,no,yes,yes,telephone,may,thu,93,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
45,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,fri,325,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
37,admin.,single,high.school,no,yes,no,telephone,may,fri,26,6,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
27,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,392,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,admin.,married,university.degree,no,yes,no,cellular,aug,mon,227,2,999,0,nonexistent,-2.9,92.201,-31.4,0.843,5076.2,no
38,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,123,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
29,admin.,single,university.degree,no,yes,no,cellular,aug,thu,20,20,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
43,blue-collar,married,basic.4y,no,no,yes,cellular,may,thu,722,2,11,1,success,-1.8,92.893,-46.2,1.266,5099.1,yes
60,retired,married,high.school,no,no,no,cellular,apr,thu,400,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes
33,technician,single,professional.course,no,yes,no,cellular,aug,wed,244,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
38,admin.,married,high.school,unknown,no,no,cellular,jul,tue,733,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
59,services,married,professional.course,no,yes,no,cellular,sep,fri,251,3,2,4,success,-1.1,94.199,-37.5,0.883,4963.6,no
74,retired,married,high.school,no,no,no,cellular,aug,thu,135,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,no
34,unemployed,married,university.degree,no,yes,no,cellular,nov,thu,266,3,999,0,nonexistent,-0.1,93.2,-42,4.0760000000000005,5195.8,no
37,blue-collar,married,unknown,no,no,no,telephone,jun,fri,34,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
51,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,665,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
34,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,299,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,single,high.school,unknown,no,no,cellular,may,tue,418,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
48,entrepreneur,single,university.degree,no,yes,no,cellular,jul,tue,654,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
29,technician,single,unknown,no,no,no,telephone,jun,mon,193,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
36,services,married,basic.6y,no,yes,no,telephone,may,thu,64,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
30,blue-collar,single,basic.9y,no,yes,yes,cellular,jul,mon,90,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
33,admin.,single,university.degree,no,no,no,cellular,jul,mon,190,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
27,admin.,single,high.school,no,yes,no,telephone,nov,fri,24,1,999,0,nonexistent,-0.1,93.2,-42,3.853,5195.8,no
53,admin.,divorced,university.degree,no,no,no,telephone,jun,fri,80,5,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
31,technician,married,professional.course,unknown,yes,yes,cellular,aug,mon,67,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
32,admin.,single,university.degree,no,yes,no,cellular,may,tue,206,2,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
37,blue-collar,married,high.school,no,yes,no,cellular,may,fri,142,1,999,0,nonexistent,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
46,technician,single,university.degree,no,no,no,cellular,aug,thu,185,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
32,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,tue,89,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
59,admin.,married,professional.course,no,no,no,telephone,may,mon,51,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,technician,married,professional.course,no,yes,no,telephone,jun,thu,18,31,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,217,4,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
39,admin.,divorced,high.school,no,no,no,cellular,jul,tue,121,17,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
34,self-employed,married,university.degree,no,no,no,telephone,jun,mon,139,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
